x-axis,VREF,VOUT_FILT
second,Volt,Volt
+246.75000E-03,+8.12500000E+00,+312.50000E-03
+246.80000E-03,+8.12500000E+00,+312.50000E-03
+246.85000E-03,+8.28125000E+00,+312.50000E-03
+246.90000E-03,+8.12500000E+00,+625.00000E-03
+246.95000E-03,+8.28125000E+00,+312.50000E-03
+247.00000E-03,+8.28125000E+00,+468.75000E-03
+247.05000E-03,+8.28125000E+00,+625.00000E-03
+247.10000E-03,+8.43750000E+00,+625.00000E-03
+247.15000E-03,+8.43750000E+00,+781.25000E-03
+247.20000E-03,+8.43750000E+00,+625.00000E-03
+247.25000E-03,+8.43750000E+00,+781.25000E-03
+247.30000E-03,+8.43750000E+00,+781.25000E-03
+247.35000E-03,+8.43750000E+00,+937.50000E-03
+247.40000E-03,+8.43750000E+00,+781.25000E-03
+247.45000E-03,+8.43750000E+00,+781.25000E-03
+247.50000E-03,+8.43750000E+00,+937.50000E-03
+247.55000E-03,+8.59375000E+00,+937.50000E-03
+247.60000E-03,+8.43750000E+00,+1.09375000E+00
+247.65000E-03,+8.43750000E+00,+1.09375000E+00
+247.70000E-03,+8.43750000E+00,+1.09375000E+00
+247.75000E-03,+8.43750000E+00,+1.09375000E+00
+247.80000E-03,+8.59375000E+00,+1.09375000E+00
+247.85000E-03,+8.75000000E+00,+1.25000000E+00
+247.90000E-03,+8.59375000E+00,+1.25000000E+00
+247.95000E-03,+8.43750000E+00,+1.25000000E+00
+248.00000E-03,+8.59375000E+00,+1.25000000E+00
+248.05000E-03,+8.59375000E+00,+1.25000000E+00
+248.10000E-03,+8.59375000E+00,+1.40625000E+00
+248.15000E-03,+8.59375000E+00,+1.40625000E+00
+248.20000E-03,+8.59375000E+00,+1.40625000E+00
+248.25000E-03,+8.59375000E+00,+1.40625000E+00
+248.30000E-03,+8.43750000E+00,+1.56250000E+00
+248.35000E-03,+8.43750000E+00,+1.56250000E+00
+248.40000E-03,+8.59375000E+00,+1.56250000E+00
+248.45000E-03,+8.59375000E+00,+1.71875000E+00
+248.50000E-03,+8.43750000E+00,+1.71875000E+00
+248.55000E-03,+8.59375000E+00,+1.71875000E+00
+248.60000E-03,+8.43750000E+00,+1.87500000E+00
+248.65000E-03,+8.43750000E+00,+1.71875000E+00
+248.70000E-03,+8.43750000E+00,+1.87500000E+00
+248.75000E-03,+8.59375000E+00,+2.03125000E+00
+248.80000E-03,+8.43750000E+00,+1.87500000E+00
+248.85000E-03,+8.43750000E+00,+2.03125000E+00
+248.90000E-03,+8.43750000E+00,+2.03125000E+00
+248.95000E-03,+8.59375000E+00,+1.87500000E+00
+249.00000E-03,+8.43750000E+00,+2.03125000E+00
+249.05000E-03,+8.43750000E+00,+2.18750000E+00
+249.10000E-03,+8.43750000E+00,+2.03125000E+00
+249.15000E-03,+8.43750000E+00,+2.03125000E+00
+249.20000E-03,+8.59375000E+00,+2.18750000E+00
+249.25000E-03,+8.59375000E+00,+2.18750000E+00
+249.30000E-03,+8.43750000E+00,+2.18750000E+00
+249.35000E-03,+8.28125000E+00,+2.18750000E+00
+249.40000E-03,+8.59375000E+00,+2.18750000E+00
+249.45000E-03,+8.59375000E+00,+2.18750000E+00
+249.50000E-03,+8.59375000E+00,+2.34375000E+00
+249.55000E-03,+8.59375000E+00,+2.34375000E+00
+249.60000E-03,+8.59375000E+00,+2.50000000E+00
+249.65000E-03,+8.59375000E+00,+2.18750000E+00
+249.70000E-03,+8.43750000E+00,+2.18750000E+00
+249.75000E-03,+8.43750000E+00,+2.18750000E+00
