x-axis,VREF,VOUT_FILT
second,Volt,Volt
+88.5000E-03,-406.2500E-03,-281.2500E-03
+89.0000E-03,-562.5000E-03,-281.2500E-03
+89.5000E-03,-406.2500E-03,-281.2500E-03
+90.0000E-03,-406.2500E-03,-125.0000E-03
+90.5000E-03,-406.2500E-03,-281.2500E-03
+91.0000E-03,-406.2500E-03,-281.2500E-03
+91.5000E-03,-406.2500E-03,-281.2500E-03
+92.0000E-03,-250.0000E-03,-125.0000E-03
+92.5000E-03,-406.2500E-03,-281.2500E-03
+93.0000E-03,-406.2500E-03,-281.2500E-03
+93.5000E-03,-406.2500E-03,-125.0000E-03
+94.0000E-03,-406.2500E-03,-125.0000E-03
+94.5000E-03,-406.2500E-03,-125.0000E-03
+95.0000E-03,-406.2500E-03,-281.2500E-03
+95.5000E-03,-406.2500E-03,-281.2500E-03
+96.0000E-03,-406.2500E-03,-281.2500E-03
+96.5000E-03,-406.2500E-03,-125.0000E-03
+97.0000E-03,-406.2500E-03,-125.0000E-03
+97.5000E-03,-406.2500E-03,-125.0000E-03
+98.0000E-03,-406.2500E-03,-125.0000E-03
+98.5000E-03,-406.2500E-03,-125.0000E-03
+99.0000E-03,-406.2500E-03,-281.2500E-03
+99.5000E-03,-406.2500E-03,-125.0000E-03
+100.0000E-03,-406.2500E-03,-281.2500E-03
+100.5000E-03,-250.0000E-03,-281.2500E-03
+101.0000E-03,-250.0000E-03,-125.0000E-03
+101.5000E-03,-250.0000E-03,-125.0000E-03
+102.0000E-03,-406.2500E-03,-281.2500E-03
+102.5000E-03,-562.5000E-03,-125.0000E-03
+103.0000E-03,-406.2500E-03,-125.0000E-03
+103.5000E-03,-562.5000E-03,-125.0000E-03
+104.0000E-03,-250.0000E-03,-125.0000E-03
+104.5000E-03,-406.2500E-03,-281.2500E-03
+105.0000E-03,-406.2500E-03,-281.2500E-03
+105.5000E-03,-406.2500E-03,-125.0000E-03
+106.0000E-03,-406.2500E-03,-125.0000E-03
+106.5000E-03,-406.2500E-03,-125.0000E-03
+107.0000E-03,-406.2500E-03,-281.2500E-03
+107.5000E-03,-406.2500E-03,-125.0000E-03
+108.0000E-03,-406.2500E-03,-281.2500E-03
+108.5000E-03,-250.0000E-03,-125.0000E-03
+109.0000E-03,-406.2500E-03,-125.0000E-03
+109.5000E-03,-406.2500E-03,-281.2500E-03
+110.0000E-03,-406.2500E-03,-125.0000E-03
+110.5000E-03,-406.2500E-03,-281.2500E-03
+111.0000E-03,-406.2500E-03,-125.0000E-03
+111.5000E-03,-406.2500E-03,-125.0000E-03
+112.0000E-03,-250.0000E-03,-125.0000E-03
+112.5000E-03,-406.2500E-03,-281.2500E-03
+113.0000E-03,-406.2500E-03,-125.0000E-03
+113.5000E-03,-406.2500E-03,-125.0000E-03
+114.0000E-03,-406.2500E-03,-281.2500E-03
+114.5000E-03,-406.2500E-03,-281.2500E-03
+115.0000E-03,-406.2500E-03,-125.0000E-03
+115.5000E-03,-406.2500E-03,-281.2500E-03
+116.0000E-03,-406.2500E-03,-281.2500E-03
+116.5000E-03,-406.2500E-03,-437.5000E-03
+117.0000E-03,-250.0000E-03,-281.2500E-03
+117.5000E-03,-406.2500E-03,-281.2500E-03
+118.0000E-03,-406.2500E-03,-281.2500E-03
+118.5000E-03,-406.2500E-03,-281.2500E-03
+119.0000E-03,-406.2500E-03,-437.5000E-03
+119.5000E-03,-406.2500E-03,-125.0000E-03
+120.0000E-03,-250.0000E-03,-125.0000E-03
+120.5000E-03,-406.2500E-03,-125.0000E-03
+121.0000E-03,-406.2500E-03,-281.2500E-03
+121.5000E-03,-406.2500E-03,-281.2500E-03
+122.0000E-03,-562.5000E-03,-125.0000E-03
+122.5000E-03,-250.0000E-03,+31.2500E-03
+123.0000E-03,-406.2500E-03,-281.2500E-03
+123.5000E-03,-250.0000E-03,-281.2500E-03
+124.0000E-03,-406.2500E-03,-281.2500E-03
+124.5000E-03,-250.0000E-03,-125.0000E-03
+125.0000E-03,-406.2500E-03,-281.2500E-03
+125.5000E-03,-406.2500E-03,-281.2500E-03
+126.0000E-03,-406.2500E-03,-125.0000E-03
+126.5000E-03,-250.0000E-03,-125.0000E-03
+127.0000E-03,-406.2500E-03,-281.2500E-03
+127.5000E-03,-406.2500E-03,-281.2500E-03
+128.0000E-03,-406.2500E-03,-125.0000E-03
+128.5000E-03,-562.5000E-03,-281.2500E-03
+129.0000E-03,-250.0000E-03,-281.2500E-03
+129.5000E-03,-250.0000E-03,-281.2500E-03
+130.0000E-03,-250.0000E-03,-125.0000E-03
+130.5000E-03,-406.2500E-03,-125.0000E-03
+131.0000E-03,-406.2500E-03,-125.0000E-03
+131.5000E-03,-406.2500E-03,-125.0000E-03
