x-axis,V_INS,V_INC,V_OUT
second,Volt,Volt,Volt
-3.39069000E+00,+2.34375000E+00,+2.03125000E+00,+125.00000E-03
-3.39066000E+00,+2.34375000E+00,+2.18750000E+00,+62.50000E-03
-3.39063000E+00,+2.65625000E+00,+2.18750000E+00,+125.00000E-03
-3.39060000E+00,+2.50000000E+00,+2.18750000E+00,+62.50000E-03
-3.39057000E+00,+2.50000000E+00,+2.34375000E+00,+125.00000E-03
-3.39054000E+00,+2.50000000E+00,+2.50000000E+00,+62.50000E-03
-3.39051000E+00,+2.65625000E+00,+2.50000000E+00,+125.00000E-03
-3.39048000E+00,+2.65625000E+00,+2.65625000E+00,+62.50000E-03
-3.39045000E+00,+2.81250000E+00,+2.50000000E+00,+125.00000E-03
-3.39042000E+00,+2.65625000E+00,+2.65625000E+00,+62.50000E-03
-3.39039000E+00,+2.81250000E+00,+2.65625000E+00,+62.50000E-03
-3.39036000E+00,+2.96875000E+00,+2.65625000E+00,+0.0E+00
-3.39033000E+00,+3.12500000E+00,+2.81250000E+00,+62.50000E-03
-3.39030000E+00,+3.12500000E+00,+2.65625000E+00,+125.00000E-03
-3.39027000E+00,+3.12500000E+00,+2.96875000E+00,+0.0E+00
-3.39024000E+00,+3.12500000E+00,+2.81250000E+00,+125.00000E-03
-3.39021000E+00,+3.43750000E+00,+2.96875000E+00,+62.50000E-03
-3.39018000E+00,+3.43750000E+00,+2.96875000E+00,+125.00000E-03
-3.39015000E+00,+3.28125000E+00,+3.12500000E+00,+62.50000E-03
-3.39012000E+00,+3.43750000E+00,+3.28125000E+00,+62.50000E-03
-3.39009000E+00,+3.59375000E+00,+3.28125000E+00,+62.50000E-03
-3.39006000E+00,+3.59375000E+00,+3.43750000E+00,+62.50000E-03
-3.39003000E+00,+3.59375000E+00,+3.28125000E+00,-62.50000E-03
-3.39000000E+00,+3.59375000E+00,+3.43750000E+00,+125.00000E-03
-3.38997000E+00,+3.59375000E+00,+3.59375000E+00,+62.50000E-03
-3.38994000E+00,+3.90625000E+00,+3.43750000E+00,+62.50000E-03
-3.38991000E+00,+3.90625000E+00,+3.59375000E+00,+125.00000E-03
-3.38988000E+00,+3.90625000E+00,+3.43750000E+00,+62.50000E-03
-3.38985000E+00,+4.06250000E+00,+3.75000000E+00,+62.50000E-03
-3.38982000E+00,+3.90625000E+00,+3.75000000E+00,+62.50000E-03
-3.38979000E+00,+3.90625000E+00,+3.75000000E+00,+125.00000E-03
-3.38976000E+00,+4.06250000E+00,+4.06250000E+00,+0.0E+00
-3.38973000E+00,+4.21875000E+00,+4.21875000E+00,+62.50000E-03
-3.38970000E+00,+4.37500000E+00,+4.06250000E+00,+125.00000E-03
-3.38967000E+00,+4.37500000E+00,+4.06250000E+00,+62.50000E-03
-3.38964000E+00,+4.37500000E+00,+4.21875000E+00,+125.00000E-03
-3.38961000E+00,+4.53125000E+00,+4.21875000E+00,+62.50000E-03
-3.38958000E+00,+4.53125000E+00,+4.06250000E+00,+62.50000E-03
-3.38955000E+00,+4.53125000E+00,+4.21875000E+00,+62.50000E-03
-3.38952000E+00,+4.37500000E+00,+4.37500000E+00,+62.50000E-03
-3.38949000E+00,+4.68750000E+00,+4.37500000E+00,+125.00000E-03
-3.38946000E+00,+4.68750000E+00,+4.53125000E+00,+125.00000E-03
-3.38943000E+00,+4.84375000E+00,+4.68750000E+00,+125.00000E-03
-3.38940000E+00,+4.68750000E+00,+4.68750000E+00,+62.50000E-03
-3.38937000E+00,+4.68750000E+00,+4.68750000E+00,+125.00000E-03
-3.38934000E+00,+4.84375000E+00,+4.68750000E+00,+125.00000E-03
-3.38931000E+00,+4.84375000E+00,+4.84375000E+00,+125.00000E-03
